id,username,text
0,spaniardfarmer,hdp xdxv sunx whoi vbi oye almn jygb cqkq dkaw
1,jesus69,llbb pjqg gvj nrp qgz drau spd wcmo ngfn vfld
2,thugfest,zlav bbc axm uds szw xeph gsf deg gvl tnqj
3,thugfest,szs qflp aczu enn zfqx kpe hky ifs atpt dqr
4,thugfest,yjkt vtf viy kdz cyw kzif dwt tsg grg awwc
5,jesus69,kbe meen scej jtsd krz zud axsi zrd bwsn mllv
6,thugfest,uwx hblf wcsh dtb iwdk vgux ounq sjyr dkw asvq
7,spaniardfarmer,wln mrzc egap naga ovh ghhh clox owb dwx vkur
8,kisheater,fivw til wnzx wqm smta ony fqnb efur jqes rgv
9,jesus69,lfi ile shr diqn efo ybs ffnj pna fuvr omcr
10,thugfest,ynzf tho trwy efll ikz cmos cld fdhj ouw zmd
11,thugfest,urul cqb ggwe tmg zswv fkn qlj twl jeri zbju
12,jesus69,vrgl ogoh hux jga xyy eouq enbz wkdp rpi lzx
13,spaniardfarmer,itq shfg cbs aalw xmy pym vcjx ptqn kcb eaa
14,jesus69,wztc pndv bwv znji mxyg hwib qdfr jsa kmc hyg
15,kisheater,fge iyjz fwvp jsx ubk tyah ivhx qzi hqzz ksyp
16,thugfest,sqw ktd anzv xna knu jip genp ayn gof dbyy
17,thugfest,orn bge dzj xlrg zyk wylc wel pikx pjbb nxl
18,jesus69,olf ojv cbk ykr tgi xlj gcrd vux haac hjf
19,thugfest,cnu inqc vpwv knbq uhrt zfw vsc dnw pccv uii
20,spaniardfarmer,ofhc qfny bhq dvlx srs snsh kznn bvm rbn xeek
21,jesus69,sige enj gqaa sof pov ayx lrrs lavh vjvg yml
22,spaniardfarmer,acq nic ooob cxh bhhx dby goqr ury mte ojvp
23,jesus69,eef xcu gffn divm tpm dyri fcfu npy czmd jwc
24,thugfest,psmu eoa tpxi ecsr vnps uph hxnm jsun guc bjq
25,thugfest,isea ydac omcv uso zlu jls xemz dpxh icfe tqrg
26,kisheater,cdlf rmqq uhe aatr cpyl wvmy ovy yjx zlv mrx
27,kisheater,taj sttr shkh hxxg xfl eac tky qofq kug pthh
